date,T_max,T_min,mean
7/1/2019,14.2,13.2,13.7
7/2/2019,14.4,13,13.7
7/3/2019,14.1,12.9,13.5
7/4/2019,15,13.4,14.2
7/5/2019,14.6,13.4,14
7/6/2019,15.3,13.3,14.3
7/7/2019,15.1,13.4,14.25
7/8/2019,15.4,13.4,14.4
7/9/2019,15.3,13.7,14.5
7/10/2019,15.2,13.4,14.3
7/11/2019,15.4,13.6,14.5
7/12/2019,16.3,13.9,15.1
7/13/2019,15.6,13.9,14.75
7/14/2019,16,13.9,14.95
7/15/2019,15.4,13.9,14.65
7/16/2019,15.9,13.8,14.85
7/17/2019,15.2,14,14.6
7/18/2019,15.8,14.1,14.95
7/19/2019,15.8,13.7,14.75
7/20/2019,15.9,13.7,14.8
7/21/2019,15.8,14.6,15.2
7/22/2019,15.7,14,14.85
7/23/2019,15.6,13.9,14.75
7/24/2019,15.9,14,14.95
7/25/2019,16.3,14.3,15.3
7/26/2019,16.5,14.9,15.7
7/27/2019,16.6,14.3,15.45
7/28/2019,16.6,14.4,15.5
7/29/2019,16.3,14.7,15.5
7/30/2019,16.1,15,15.55
7/31/2019,16.6,14.6,15.6
8/1/2019,17,14.4,15.7
8/2/2019,16.8,14.4,15.6
8/3/2019,17.1,14.7,15.9
8/4/2019,17,15.3,16.15
8/5/2019,16.8,15.6,16.2
8/6/2019,16.7,15.6,16.15
8/7/2019,16.6,15.1,15.85
8/8/2019,16.7,15.4,16.05
8/9/2019,16.4,15.4,15.9
8/10/2019,17,15.4,16.2
8/11/2019,16.5,15.1,15.8
8/12/2019,16.6,14.4,15.5
8/13/2019,15.7,14.3,15
8/14/2019,15.8,14.6,15.2
8/15/2019,15.6,14.8,15.2
8/16/2019,15.7,14.6,15.15
8/17/2019,15.6,14.6,15.1
8/18/2019,15.9,14.7,15.3
8/19/2019,16,14.9,15.45
8/20/2019,16.2,14.7,15.45
8/21/2019,15.9,14.7,15.3
8/22/2019,15.2,14.6,14.9
8/23/2019,15.7,14.4,15.05
8/24/2019,15.7,13.2,14.45
8/25/2019,15.5,13.7,14.6
8/26/2019,15,13.6,14.3
8/27/2019,14.7,13.6,14.15
8/28/2019,14.4,13,13.7
8/29/2019,13.6,12,12.8
8/30/2019,12.9,10.8,11.85
8/31/2019,12.9,9.9,11.4
9/1/2019,10.6,8.4,9.5
9/2/2019,9.1,7.3,8.2
9/3/2019,7.4,6.3,6.85
9/4/2019,6.4,5.6,6
9/5/2019,6.2,5.6,5.9
9/6/2019,6.6,5.6,6.1
9/7/2019,6.5,5.7,6.1
9/8/2019,6.4,5.8,6.1
9/9/2019,6.5,5.9,6.2
9/10/2019,6.7,5.9,6.3
9/11/2019,6.9,5.9,6.4
9/12/2019,7.1,5.9,6.5
9/13/2019,7.2,6,6.6
9/14/2019,7.9,6.1,7
9/15/2019,7.9,6.2,7.05
9/16/2019,7.7,6.5,7.1
9/17/2019,7.6,6.8,7.2
9/18/2019,7.8,6.7,7.25
9/19/2019,8,7.2,7.6
9/20/2019,8.1,7.5,7.8
9/21/2019,8.6,7.4,8
9/22/2019,8.5,7.8,8.15
9/23/2019,9.2,8,8.6
9/24/2019,9.7,8.3,9
9/25/2019,10.3,8.4,9.35
9/26/2019,10.5,8.4,9.45
9/27/2019,10.3,9.2,9.75
9/28/2019,10.5,9,9.75
9/29/2019,10.8,9.4,10.1
9/30/2019,11.2,9.1,10.15
10/1/2019,11.3,9.1,10.2
10/2/2019,10.9,9.3,10.1
10/3/2019,11.1,9.5,10.3
10/4/2019,10.9,9.8,10.35
10/5/2019,11,9.6,10.3
10/6/2019,11.2,9.3,10.25
10/7/2019,10.9,9.6,10.25
10/8/2019,11,9.2,10.1
10/9/2019,10.7,9.4,10.05
10/10/2019,11.1,9.5,10.3
10/11/2019,10.6,9.7,10.15
10/12/2019,10.6,9.4,10
10/13/2019,10.4,9.4,9.9
10/14/2019,10.7,9.5,10.1
10/15/2019,10.4,9.2,9.8
10/16/2019,10.4,9.6,10
10/17/2019,10.6,9.7,10.15
10/18/2019,10.2,9.7,9.95
10/19/2019,10.8,9.4,10.1
10/20/2019,10.5,9.6,10.05
10/21/2019,10.4,9.8,10.1
10/22/2019,10.7,10.2,10.45
10/23/2019,10.6,10,10.3
10/24/2019,10.9,9.7,10.3
10/25/2019,10.6,9.3,9.95
10/26/2019,9.8,9,9.4
10/27/2019,10.5,8.9,9.7
10/28/2019,9.9,8.5,9.2
10/29/2019,9.4,7.7,8.55
10/30/2019,9.1,8.4,8.75
10/31/2019,9,8.3,8.65
11/1/2019,9.3,8.3,8.8
11/2/2019,9.1,8.2,8.65
11/3/2019,9,8,8.5
11/4/2019,9,8.1,8.55
11/5/2019,8.8,8,8.4
11/6/2019,8.7,7.9,8.3
11/7/2019,8.7,8.2,8.45
11/8/2019,8.6,7.9,8.25
11/9/2019,8.4,7.7,8.05
11/10/2019,8.3,7.7,8
11/11/2019,8.7,8,8.35
11/12/2019,8.4,7.7,8.05
11/13/2019,8.4,7.7,8.05
11/14/2019,8.4,7.8,8.1
11/15/2019,8.3,7.7,8
11/16/2019,8.4,7.6,8
11/17/2019,8.5,7.9,8.2
11/18/2019,8.5,7.9,8.2
11/19/2019,8.1,7.6,7.85
11/20/2019,8,7.3,7.65
11/21/2019,8.1,7.6,7.85
11/22/2019,7.8,7.4,7.6
11/23/2019,7.6,7.3,7.45
11/24/2019,7.4,7.1,7.25
11/25/2019,7.3,7,7.15
11/26/2019,7.1,6.7,6.9
11/27/2019,6.7,6.2,6.45
11/28/2019,6.6,6.2,6.4
11/29/2019,6.2,6,6.1
11/30/2019,6.1,5.9,6
12/1/2019,6.1,5.9,6
12/2/2019,6,5.7,5.85
12/3/2019,5.9,5.7,5.8
12/4/2019,5.9,5.7,5.8
12/5/2019,5.8,5.6,5.7
12/6/2019,5.7,5.6,5.65
12/7/2019,5.7,5.6,5.65
12/8/2019,5.9,5.6,5.75
12/9/2019,5.7,5.4,5.55
12/10/2019,5.6,5.4,5.5
12/11/2019,5.5,5.4,5.45
12/12/2019,5.6,5.4,5.5
12/13/2019,5.7,5.6,5.65
12/14/2019,5.6,5.4,5.5
12/15/2019,5.5,5.2,5.35
12/16/2019,5.4,5,5.2
12/17/2019,5.4,5.1,5.25
12/18/2019,5.4,5.1,5.25
12/19/2019,5.6,5.2,5.4
12/20/2019,5.6,5.4,5.5
12/21/2019,5.7,5.5,5.6
12/22/2019,5.6,5.4,5.5
12/23/2019,5.9,5.2,5.55
12/24/2019,5.3,5,5.15
12/25/2019,5.4,5.1,5.25
12/26/2019,5.2,5,5.1
12/27/2019,5.2,5,5.1
12/28/2019,5.2,5,5.1
12/29/2019,5.3,5,5.15
12/30/2019,5.2,5,5.1
12/31/2019,5.2,5,5.1
1/1/2020,5.6,5.2,5.4
1/2/2020,5.4,5.2,5.3
1/3/2020,5.2,5.1,5.15
1/4/2020,5.3,5.2,5.25
1/5/2020,5.2,5.1,5.15
1/6/2020,5.2,5.1,5.15
1/7/2020,5.2,5.1,5.15
1/8/2020,5.2,5.1,5.15
1/9/2020,5.2,5.1,5.15
1/10/2020,5.2,5,5.1
1/11/2020,5.2,5.1,5.15
1/12/2020,5.1,5,5.05
1/13/2020,5,4.8,4.9
1/14/2020,4.9,4.7,4.8
1/15/2020,4.8,4.7,4.75
1/16/2020,4.8,4.6,4.7
1/17/2020,4.9,4.6,4.75
1/18/2020,4.9,4.6,4.75
1/19/2020,4.9,4.6,4.75
1/20/2020,5.2,4.6,4.9
1/21/2020,5.1,4.6,4.85
1/22/2020,5,4.6,4.8
1/23/2020,4.9,4.6,4.75
1/24/2020,5,4.7,4.85
1/25/2020,5.2,4.8,5
1/26/2020,5.5,5,5.25
1/27/2020,5.5,5.3,5.4
1/28/2020,5.5,5.3,5.4
1/29/2020,5.5,5.2,5.35
1/30/2020,5.6,5.2,5.4
1/31/2020,5.7,5.5,5.6
2/1/2020,5.7,5.5,5.6
2/2/2020,5.6,5.5,5.55
2/3/2020,5.5,5.3,5.4
2/4/2020,5.4,5.1,5.25
2/5/2020,5.3,5.1,5.2
2/6/2020,5.4,5.1,5.25
2/7/2020,5.4,5.3,5.35
2/8/2020,5.4,5.2,5.3
2/9/2020,5.4,5.2,5.3
2/10/2020,5.4,5.2,5.3
2/11/2020,5.3,5.1,5.2
2/12/2020,5.5,5,5.25
2/13/2020,5.4,5,5.2
2/14/2020,5.4,5,5.2
2/15/2020,5.2,5,5.1
2/16/2020,5.2,4.8,5
2/17/2020,5.3,4.7,5
2/18/2020,5.3,4.7,5
2/19/2020,5.4,4.8,5.1
2/20/2020,5.4,4.8,5.1
2/21/2020,5.5,4.9,5.2
2/22/2020,5.5,4.9,5.2
2/23/2020,5.2,4.9,5.05
2/24/2020,5.4,4.8,5.1
2/25/2020,5.5,4.8,5.15
2/26/2020,5.6,4.9,5.25
2/27/2020,5.6,4.9,5.25
2/28/2020,5.6,5,5.3
2/29/2020,5.5,5,5.25
3/1/2020,5.5,4.9,5.2
3/2/2020,5.2,4.9,5.05
3/3/2020,5.7,4.9,5.3
3/4/2020,5.9,4.9,5.4
3/5/2020,6.4,5.1,5.75
3/6/2020,6.2,5.4,5.8
3/7/2020,5.9,5.3,5.6
3/8/2020,6,5.3,5.65
3/9/2020,6.5,5.5,6
3/10/2020,6.5,5.6,6.05
3/11/2020,6.6,5.7,6.15
3/12/2020,6.7,5.5,6.1
3/13/2020,6.7,5.5,6.1
3/14/2020,6.2,5.4,5.8
3/15/2020,5.9,4.8,5.35
3/16/2020,5.6,4.7,5.15
3/17/2020,6.2,4.9,5.55
3/18/2020,6.5,5.5,6
3/19/2020,6.8,5.4,6.1
3/20/2020,7.1,5.8,6.45
3/21/2020,7.3,6.2,6.75
3/22/2020,7.5,6.2,6.85
3/23/2020,7,6.1,6.55
3/24/2020,6.8,6.3,6.55
3/25/2020,7.2,6.2,6.7
3/26/2020,7.2,6.5,6.85
3/27/2020,6.7,6,6.35
3/28/2020,6.7,6,6.35
3/29/2020,7,6.4,6.7
3/30/2020,7.1,6.6,6.85
3/31/2020,7.4,6.6,7
4/1/2020,6.9,6.4,6.65
4/2/2020,7,6.3,6.65
4/3/2020,6.6,6,6.3
4/4/2020,6.9,6.1,6.5
4/5/2020,7.7,6.4,7.05
4/6/2020,7.4,6.3,6.85
4/7/2020,8.1,6.4,7.25
4/8/2020,8.5,6.4,7.45
4/9/2020,9.1,7.2,8.15
4/10/2020,8.9,7.4,8.15
4/11/2020,8.9,7.2,8.05
4/12/2020,9.4,7.3,8.35
4/13/2020,9.5,7.5,8.5
4/14/2020,9.6,7.9,8.75
4/15/2020,8.8,8,8.4
4/16/2020,9.6,6.4,8
4/17/2020,9.8,7.6,8.7
4/18/2020,9.2,8.1,8.65
4/19/2020,9.5,7.8,8.65
4/20/2020,10.5,7.8,9.15
4/21/2020,10.1,8,9.05
4/22/2020,9.7,8,8.85
4/23/2020,10.5,8.8,9.65
4/24/2020,10,8.7,9.35
4/25/2020,10.5,8.8,9.65
4/26/2020,11,8.7,9.85
4/27/2020,10.1,8.6,9.35
4/28/2020,10.5,8.5,9.5
4/29/2020,10.7,8.3,9.5
4/30/2020,10,8.6,9.3
5/1/2020,10.1,8.5,9.3
5/2/2020,10,7.9,8.95
5/3/2020,9.2,8.2,8.7
5/4/2020,9.4,7.8,8.6
5/5/2020,9.4,7.7,8.55
5/6/2020,9.4,7.7,8.55
5/7/2020,9.2,8.1,8.65
5/8/2020,9.3,7.5,8.4
5/9/2020,9.8,8.1,8.95
5/10/2020,10,8.2,9.1
5/11/2020,9.9,8.8,9.35
5/12/2020,10.1,8.6,9.35
5/13/2020,9.8,8.9,9.35
5/14/2020,9.5,8.8,9.15
5/15/2020,10.2,8.9,9.55
5/16/2020,11.2,9.2,10.2
5/17/2020,10.4,9.5,9.95
5/18/2020,10.2,9.5,9.85
5/19/2020,10.3,9.5,9.9
5/20/2020,10.3,9.5,9.9
5/21/2020,10.6,9.7,10.15
5/22/2020,10.4,9.4,9.9
5/23/2020,10.2,8.7,9.45
5/24/2020,10.8,8.8,9.8
5/25/2020,10.7,9.8,10.25
5/26/2020,11.2,9.5,10.35
5/27/2020,11.4,9.5,10.45
5/28/2020,11.9,10.2,11.05
5/29/2020,12,11,11.5
5/30/2020,12.3,9.8,11.05
5/31/2020,11.8,9.8,10.8
6/1/2020,11.5,10.2,10.85
6/2/2020,12,10.5,11.25
6/3/2020,12.2,10.6,11.4
6/4/2020,12.4,10.2,11.3
6/5/2020,12.4,10.7,11.55
6/6/2020,12,10.5,11.25
6/7/2020,12.2,10.7,11.45
6/8/2020,11.4,10.5,10.95
6/9/2020,10.8,10.4,10.6
6/10/2020,11.5,9.6,10.55
6/11/2020,11.4,10.4,10.9
6/12/2020,11.8,10.9,11.35
6/13/2020,11.8,10.8,11.3
6/14/2020,11.9,10.7,11.3
6/15/2020,11.9,11,11.45
6/16/2020,11.9,10.8,11.35
6/17/2020,11.5,10.6,11.05
6/18/2020,11.8,10.5,11.15
6/19/2020,12.1,10.6,11.35
6/20/2020,11.9,10.8,11.35
6/21/2020,11.7,10.7,11.2
6/22/2020,12.7,11.2,11.95
6/23/2020,12.9,11.6,12.25
6/24/2020,12.8,11.6,12.2
6/25/2020,13.1,12,12.55
6/26/2020,13.4,11.8,12.6
6/27/2020,13.2,11.9,12.55
6/28/2020,13.2,11.9,12.55
6/29/2020,13.2,12.1,12.65
