,Ablabesmyia,Acentrella,Afghanurus criddlei,Agraylea,Allocosmoecus partitus,Alotanypus,Ameletus,Amiocentrus aspilus,Ampumixis dispar,Anafroptilum,Anafroptilum/Procloeon,Antocha,Apedilum,Arctopsyche,Arctopsychinae,Atherix,Atractides,Attenella delantala,Attenella margarita,Baetis alius,Baetis flavistriga,Baetis tricaudatus complex,Bittacomorpha,Blephariceridae,Boreochlus,Brachycentrus americanus,Brachycentrus occidentalis,Brillia,Caecidotea,Caladomyia,Calineuria californica,Callibaetis,Capniidae,Caudatella columbiella,Caudatella edmundsi,Caudatella heterocaudata,Caudatella hystrix,Ceratopogonidae,Ceratopogoninae,Chaetocladius,Chelifera/Metachela,Chironomidae,Chironomus,Chloroperlidae,Chydoridae,Cinygma,Cinygmula,Cladotanytarsus,Cleptelmis addenda,Clinocera,Corixidae,Corynoneura,Cricotopus,Cricotopus (Nostococladius),Cricotopus bicinctus group,Cricotopus trifascia group,Cryptochironomus,Cultus,Dasyhelea,Diamesa,Dicosmoecus gilvipes,Dicranota,Diphetor hageni,Dixa,Drunella coloradensis/flavilinea,Drunella doddsii,Drunella flavilinea,Drunella grandis/spinifera,Dytiscidae,Empididae,Epeorus,Epeorus albertae group,Epeorus longimanus,Ephemerella excrucians group,Ephemerella tibialis,Ephydridae,Eukiefferiella brehmi group,Eukiefferiella claripennis group,Eukiefferiella devonica group,Eukiefferiella pseudomontana group,Ferrissia,Forcipomyiinae,Glossosoma,Glutops,Heleniella,Hemerodromia,Heptagenia,Hesperoperla pacifica,Heterlimnius corpulentus,Heteroplectron californicum,Heterotrissocladius marcidus group,Hexatoma,Hyalella,Hydatophylax hesperus,Hydra,Hydrophilidae,Hydroporinae,Hydropsyche,Hydroptila,Hygrobates,Ironodes,Isoperla,Isoperlinae,Juga,Kogotus/Rickera,Krenosmittia,Labiobaetis,Lebertia,Lepidostoma,Lepidostoma-panel case larvae,Lepidostoma (Neodinarthrum),Lepidostoma cascadense,Lepidostoma unicolor group,Leuctridae,Limnephilidae,Limnophyes,Lopescladius,Lymnaeidae,Macropelopia,Malenka,Matriella teresa,Menetus,Metriocnemus,Micrasema,Micrasema dimicki,Micropsectra,Microtendipes pedellus group,Microtendipes rydalensis group,Molophilus,Muscidae,Musculium,Mystacides,Nanocladius,Narpus concolor,Nemata,Neoleptophlebia/Paraleptophlebia,Neoplasta,Neotrichia,Nilotanypus,Ochrotrichia,Octogomphus specularis,Odontomesa,Oligochaeta,Onocosmoecus unicolor,Optioservus,Oribatida,Orohermes crepusculus,Orthocladius,Orthocladius (Symposiocladius),Osobenus yakimae,Ostracoda,Pacifastacus,Pagastia,Paracladopelma,Parakiefferiella,Paraleptophlebia bicornuta group,Paramerina,Parametriocnemus,Paratanytarsus,Parorthocladius,Pedicia,Pentaneura,Pericomaini,Perlinodes aurea,Perlodidae,Phaenopsectra,Physella,Pisidium,Polycelis,Polycentropus,Polypedilum,Potthastia gaedii group,Potthastia longimana group,Pristinicola hemphilli,Procladius,Prodiamesa,Protzia,Psectrocladius,Pseudodiamesa,Psychoglypha,Psychoglypha bella,Psychoglypha subborealis,Pteronarcella,Pteronarcys californica,Ptilostomis,Rheocricotopus,Rheotanytarsus,Rhithrogena,Rhyacophila,Rhyacophila angelita group,Rhyacophila arnaudi,Rhyacophila betteni group,Rhyacophila brunnea/vemna group,Rhyacophila grandis,Rhyacophila narvae,Rhyacophila nevadensis group,Rhyacophila verrula,Serratella micheneri,Sialis,Simulium,Skwala,Smittia,Sperchon,Sperchonopsis,Stactobiella,Stempellina,Stempellinella,Stenochironomus,Stygobromus,Sublettea,Suwallini,Sweltsa,Synorthocladius,Tabanidae,Tanytarsus,Thienemanniella,Thienemannimyia complex,Timpanoga hecuba,Tipula,Tipuloidea,Torrenticola,Trombidiformes,Truncatelloidea,Tvetenia bavarica group,Wiedemannia,Yoraperla,Zapada cinctipes,Zapada oregonensis group,Zavrelimyia
PM_FA,0,0,0,13.91785878,0,0,0,0,2.30923822,0,2.820490741,0.538015493,0,110.9060257,0,0,0,6.444408448,0,0,0,183.462366,0,1.804470113,0,0.918574363,0,0.088831718,0,0,7.01064815,0,4.879656185,0,0.48806751,0,0.327986137,0,13.1299297,0,4.390674832,3.659038787,0,0.409165354,0.597635098,0.369386773,9.408693094,1.258856851,0.197822716,2.448540478,0,0.083039714,0,0.952551257,0,0,0.175008694,0,0,4.937708635,0,0,3.439156572,0,0,0.191214596,0,0.088351188,0,1.484230944,2.036399997,0,0,121.2759302,0,0,0.036757952,0.642281087,1.377408808,0,9.481771082,0,77.37519455,3.822137619,0.105923785,0,0,897.4396038,0.079480799,0,0,0,0.128577279,0,0,0.303827409,0,274.1645773,3.079544716,0,8.475965301,8.138202146,0,0,0,0,0,0.52073516,0,0,4.524042984,0,0,0.359241181,0,0,0,0,0,9.845239156,0,1.591737826,0,0.59358958,0,1.097262165,0,0,0,0,0,0,0,2.511125316,33.99508889,16.08077107,5.009874415,0,0,0,0,0,29.10078244,0,1.373956748,0,0,21.11221948,0.05907177,0,0.088495276,0,0,0.621937821,0,11.67798247,0,4.601854651,0,0,0,0,0,148.0590489,15.83882805,0,0,0,0,0,0.707061172,0,0.519143193,0,0,0,0.1453472,0,0,0,0,0,0,0,0,0,0,176.7460234,0,0,1.783481063,27.21532054,71.54820723,0,7.088526558,0,0,0,0,8.728928195,604.2610427,0,0.7783792,0.1272,0,0.148070334,0,0,0,0,0,31.01777699,0.415515209,0,0.030282994,0,25.19802087,0,0,2.097553532,0.046216,1.418415953,0,0.775332629,0.070724473,0,4.865151442,0,0
PM_SP,0,0.083728254,0,1.470239768,0,0.622715243,0,0.037510084,0.602323176,1.25693194,0,0.452721865,0,9.062547162,0,0,0.244267538,50.10302111,0,0.00848,0,70.1680841,0,0,0,33.32352879,0.026416,1.22170081,0,0,0,0,0,0,0,0,4.301560272,0,19.14477219,0,5.549325961,0.869867211,0,8.311906534,0.0108048,0,284.7564743,4.351254371,0.149192083,2.412488957,0,0.093958553,0,1.809112238,0,0,0,94.96123083,0,1.928078384,95.98685413,1.168249952,22.48989231,0,0,0,40.74513356,0,0,0,0,23.88570645,3.853171101,98.47819068,0.371264115,0,0.590913013,0.066971601,0.01591889,0,0,0,2.368263516,17.7589289,0,0,0.733715357,370.9819104,0,0,5.103993581,0,0,0,0,0,0,227.8045557,4.596123835,0.1696,39.71962679,17.3131485,0,0,39.03212646,0,5.20098816,0.6955296,0,0,0.397826746,0,0,0,0,0.164185519,0.057739103,0,9.881598836,12.39803651,0.263925115,8.578427788,0,2.752854289,0,0.941296291,0,0.102105423,0,0,0,0,0.138352848,1.317406673,22.08875946,21.99143412,1.434222987,0,0,0,0,2.211149105,24.52380988,0,0.467681611,0.013562877,0,9.112903281,0,22.89304422,0.260492923,0,9.358072221,0.487638122,0.056260088,0,0,3.277074829,0,0,0,0,0,0,0.209797497,0,0,0,0,0,4.491626018,0.017668024,0,0,0,0,0,0,0,0,0,0.725411973,0,0,0,0.599836943,0.084670271,0,0.088370959,0,0,27.32558257,27.636476,0,0,0,0,0,0,0,0,0,0.470723115,0,0,0.164185519,1.096017754,0,0,0,0,5.508499816,0.215773633,0,4.372737289,0.01591889,48.17284051,0,0,0,0.112999414,0.149126945,0,1.135214326,0.294685306,0,0,0,0
PM_SU,0,0.116384154,0,0.03584,7.150551616,0,0,0,5.848498334,0,8.729861391,0,39.83210862,0.156677922,0.120785998,0,0.0618192,2.271582678,7.280695611,68.74212579,0,26.28605222,0,0,0,0,0,2.181363961,0,0,0,5.025013874,1.138651693,0,0,0,0,0.089386851,0,0,8.70179739,4.961299075,9.453114352,3.373120052,0.251408971,0,0,0,0.165584998,25.60004938,0.079774809,0.305321127,2.36387643,0,0,0,0,0,0,0.472672744,243.5477266,0,0,0,0,0,0,0,0,0.379156846,0,84.87816666,0.733715357,0,24.06920357,0,0.533271763,0.018268737,0.12558967,1.061463572,0,0,0,0,0,0,0.259575203,172.0683836,0,0,1.695538024,0,0,0,0,0,0,220.6070185,0,0,0,0,0,0,0,0.105577007,0,0.682559752,0,0,0,0,0,0.141581549,0,0.756907498,0,0,5.866209792,44.35101679,6.937728318,0,0,0,0,14.35068798,0,0,0,13.60231442,0,0,0.925465802,0,26.60835463,5.286430686,0,0,0,0,0,1.037094676,30.38339727,340.9551399,0,0.027893465,0,10.70594313,0,0,0.754619587,0,9.184325596,1.685146112,0.042968635,0.679525445,0,7.926404531,29.52855782,0,0,1.573947208,0,0,0.104002322,180.7746596,0,0,0,0,20.00659826,0.316389505,4.995541359,0,0,0,0,41.34382167,0,0,0,0,0,0,0,2.877949034,0,0,0,0,0,7.066072326,22.76577763,0,0.982421383,0,0,15.02810138,0,13.54314741,35.41116595,0,0.4345152,0,0,0,0.1989384,0,0,0,2.084876818,0,0.388562186,0,4.383422974,0,60.08252412,16.66099037,0,0,0.294397374,0.444830401,0,6.293600655,0,0,0.625686796,0,0
PM_WI,0,0,0,10.16369857,0,0,0.634631712,0,0.049825607,0,0,1.018934658,0,28.54810711,0,0,0.1696,62.16905692,0,0.478994693,0,291.9385498,0,0,0,9.258625764,0,1.850243414,0,0,0,0,0,1.435359779,3.579681874,0,29.32715015,0,10.15580792,0,1.093235099,1.693354453,0,1.284312525,0,0.158350821,249.3740278,1.482276562,0.032749517,3.35508029,0,0,0,1.005701279,0,0,0,162.8556213,0,0,0,0,6.531621896,0,0,1.219248624,17.33811144,0,0,0,5.777178546,0,0,112.714213,0,0,0.54663667,0,0.095407331,0.006643177,0,0,1.294155051,0,0,0.33999748,0,266.8184458,0,0,0,1.697706993,0,0,0,0,0,333.6594933,1.858825899,0,35.67405043,0,15.52755429,0,0,1.192620644,0,0.2354048,0,0,6.803800928,0,0,0,0,0,0,0,0,0.14472192,0,0,0,4.964329518,0,0.38511563,0,0,0,0,0,0,0,0.495094552,33.95037447,9.154582894,3.019201305,0,0,0,0,0,12.06894848,20.9031802,0,0,0,4.559744774,0,0,0.058086605,0,1.038982596,0,0,0,0,15.49754015,0,0,0,0,0,74.58776396,0,0,0,0,0,6.579915906,3.783591583,0,0.741581991,0,0,0,0.1696,0,0,0,0,0,0,122.137136,0,0.940186251,0,124.2753061,0,0,0,41.48735357,49.83191871,0,3.926005315,0,0,0,0,12.91783678,566.8928357,0,0.5088,0,0,0.08315736,0,0,0,0,0,3.629018831,1.511087795,0,0.053004073,0.361216787,28.5193919,0,0,0,0,0.00565998,0,0.245053014,1.351292674,0,0,0,0
WF_FA,0,0,0,4.003767134,0,12.57641467,0,0,0.176239558,0,7.0517797,0,0,0,0,0,0,0,0,0,0,38.17588826,0,0,0,1.383793309,0,2.687917333,0,0,0,11.49780242,0,0,0,0,0,0,5.635566506,0,0,1.771208525,2.156178752,2.199450184,0.050049724,4.782428136,0.027742176,0.472970186,0.352479116,3.365623289,0,0.502038234,0,0,0,0,0,0,0,0,0,0,9.620185136,2.253537308,0,0,0,0,0,2.163264814,0,0,0,28.08200876,0,0,0,1.264266845,0,0,0.436416326,0,0.472242991,0,0,0,0,12.75961544,0,0,2.611861284,0,1.295850777,151.2921867,0,0,5.340085538,18.95815951,2.08957053,0.54456864,3.06165691,46.3285296,0,0,0,0,10.56422581,0,0.872475345,30.4311241,5.384076932,0,0,0,0,0,0,0.911530219,15.71780833,155.0578484,0,28.12822483,0,3.864443524,0,2.611722138,0,0,0,14.89364041,0,1.437259483,0.236485093,0.403461425,20.42668453,139.7243295,8.305129266,0,0,0,0,0,29.37336687,0.30792321,0,0,0,0,0,0,1.223083101,0,0,0.423994611,0,0,6.098715098,7.08657515,0.284747611,0,0,0,0,0,0,21.5517122,210.0849172,0.405136874,0,30.09212786,10.61839138,0,2.053846429,0,0,0,0.39280844,0,0,0,12.52330894,0,0,0,0,0,0,0,0,0,0,0,6.242452358,0,0,0,0,0,0,77.78693004,36.44762598,0,0,0,0,0.420196854,0.046415666,0,0,0,0,0,0.134120578,2.809266418,0.641285233,0.08184138,31.54692821,0,0,0,0,2.04938901,0,1.448015194,0,56.61586824,1.32071438,0,0
WF_SP,0,0,0,0,0,0.127987502,14.58546556,0.033418737,0.046671091,63.19386192,0,0,0,0,0,0,0.52570912,0,0,0.0117872,0,52.66964994,0,0,0.195858622,7.109875746,0,4.690402481,0,0,0,0,0,0,0,0,0,0,32.4836483,2.174784642,0,2.220506277,2.763586934,0,0.080762909,73.02372837,2.193234082,0.313318449,0.977806981,1.159483628,0,0.276713504,0,0,0,0,0,0,0.19258412,0,30.26928128,4.635293331,89.62295336,0,0,0,0.686052985,0,12.59398996,0,0.0240192,1.210714978,0,77.52967198,0.121498867,0.061806934,0,0.065539841,0.118331251,0,0,0,0,0,0,0,0,0.040859091,0,0,17.26309602,0,0.842895335,0,0,0.074331823,7.081797123,0,3.005774525,0,36.82848888,19.3312448,0,0,0,0,53.38804431,0.44378808,0,1.248341521,0,0,92.52243182,0,0.257735,4.025674554,0,61.25388273,30.28790798,16.10098192,0,12.15664621,0.435340539,7.832398289,0,2.564152706,0,0,0,0,0,0,0,0.34333123,11.68725708,108.8545188,0.236551262,0,0,0,1.142445378,1.031390469,194.2671916,112.9586692,0,0.49589826,0,0.944714777,0,5.930367168,1.944730291,0,0,0,0,0,4.496188078,3.333239251,0,0,2.721679728,0.067781608,3.006057586,0,0.13250525,1.040542873,0,0.406815549,0,0,10.47026397,0,0.372812852,0,0,0,0,0,0,52.94535742,82.97839643,110.9088274,0,0,0,1.18562859,0,0,0,0,0,0,9.391726336,0,0,0,0,0,0,0.649005115,0,0.141926537,0,0,0,0,1.341998717,0,0,0,0,0,0,0,9.943516551,0.127151912,48.52974255,0,0.189441963,1.501176475,0.13614216,0.209519062,0,0.372182166,0,0,0,0,0
WF_SU,0,0,0,0.0062272,0,0,0,0,2.176503974,0,51.26062186,0,0,0,0,0,0.162013893,0,32.39623747,91.7349003,0,5.536364487,0,0,0,0,0,5.610464181,0,0,0,0,0.015397375,0,0,0,0,0,0.231899725,0,15.73331087,4.714676665,0,0,0.040668487,0,0,0,12.5585838,25.65302978,0,0.789509798,0.149555089,0,0,0,0,0,0,0,98.48451934,0,0,0,0,0,0,0.0101232,0,4.847292254,0,0,0,0,1.847259922,0,0,0,0,0,0,0.293635275,0.656877845,0,0,0,0,216.8347846,0,0,4.21341309,0,0,0,0,0,0,20.66912292,0.632788311,0,0,3.843742591,0,0,0,1.907010694,4.289069472,0.847152,0.037027932,0,0,0,0,0,0,0,0,0,18.1123193,150.6830346,12.01055728,0,0,0.97342181,4.102972928,24.16579296,0.71220715,0,0,0,0,0,0.391957017,0,23.78225017,93.37252442,0,0,0.077651557,0,0,0,70.35890032,0,0,0.49683048,0,0.227206646,0.149555089,0,3.521470162,0,9.996654023,2.673343627,0,0,0.976175708,30.40363797,4.913896697,0,0,8.39079067,0,0,0,359.8389157,0,0.32695554,0,0,48.19833436,0,0.20627967,0,0,0,0,8.510608603,0,0,515.0484254,0,0,0,0,9.170340684,0,0,0,0,0,0,20.17684556,0,0,0,0,28.16002282,0,0.298749569,1.412463622,1.7331219,0.117872,0.24841524,0,0,0.098775144,0,0,0,0,0,0,0,1.508541286,0.208747706,75.16468689,1.078409083,0,0,0.05012695,1.039830195,0,7.813747636,0,0.76465332,0.019083449,0,4.631558193
WF_WI,0.907718249,0,0,0,0,49.30142869,8.429460087,0.021121799,3.834471569,0,0,0.095441204,0,0,0,0,0.0338882,1.876171552,0,0,0,53.08921728,17.48960018,0,0,13.38079799,0,10.27369373,0,0,0,4.028438878,0,0,1.958030783,0,1.202519733,0,3.308621882,0,1.421787292,3.647085741,10.52642242,0,0,12.17551179,1.236936199,0.749967935,3.312471442,11.35153733,3.604836376,0.03702202,0,0.007060584,0,0,0,20.06845079,0,0,3.637077934,0.359292089,8.865260885,0,0,0,1.103121218,0,3.01472338,0,0,0,0,449.7539911,0,0,0,0,0.091149368,0,0,0,0,2.111106084,0,0,0,32.86538261,0,0,12.28104381,0,0.242332409,256.4766497,0,0,9.519694499,43.47570889,1.576310561,0.127046188,39.42078268,147.2417049,3.934896839,0,0,0.396099974,2.656853703,1.15939313,1.989706626,0,0.730063324,0,0,0,0.402472594,0.061383227,0,0,8.883587595,0.152784352,0,16.36676599,0,9.211977552,0,0.816694786,0.29976898,0,0,0,0,0.121562076,0,8.498200072,0.743520297,25.85763244,1.91840348,0,0,0,0,0.124270951,52.28920971,0,0,0,0,2.259828337,0,0,0.719396653,0,0.959591948,0.465481182,0,0,3.468328582,47.19075774,0,0,0,0,0.325054225,0,0.252720351,5.65584054,18.69423134,0.073665909,0,65.03038127,16.29620354,0,1.055554464,0,0.425159234,0.124270951,0.093157988,0,3.953908888,2.043059048,0,0,0,7.017267386,55.7200165,2.567706028,0,0.580978123,0,0,12.34797531,0,21.9277231,0,0,0,0,0,7.852575012,3.84704701,331.2524933,0,0.04302328,0,0,0.133410945,0.03413639,0,0,0,0,0,0.030691614,0,3.2895444,0.021918509,38.43389007,0,25.81199734,0,0,0.59283613,0,0,0,5.960934805,0,0,0
